Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,930,15.5,108.38617806758464,108.38616561591324,1.2451671398594044e-05,0.8922465576408961,11.065507450172639,1.2551378174708202e-05,-11.065494898794464,0.1643672701203903,11.065507450172639,1.2551378174708202e-05,-11.065494898794464,0.1643672701203903,11.065507450172639,1.2551378174708204e-05,-11.065494898794464,0.1643672701203903,33.19652235051792,3.765413452412461e-05,-33.19648469638339,0.49310181036117084,6.225835699297022e-06,1.1488246583277209e-07,25.9245,True,-33.19648469638339,False
One-stage weighted objective,960,16.0,167.97181180257934,167.97180758949776,4.213081585476175e-06,0.9071849717796655,32.20241982747181,4.31286256622e-06,-32.20241551460924,-6.136577875061317,32.20241982747181,4.31286256622e-06,-32.20241551460924,-6.136577875061317,32.20241982747181,4.31286256622e-06,-32.20241551460924,-6.136577875061317,96.60725948241542,1.293858769866e-05,-96.60724654382773,-18.409733625183947,2.1065407927380874e-06,2.5082075023563444e-08,45.25,True,-96.60724654382771,False
One-stage weighted objective,990,16.5,124.58044620067777,124.58043806495961,8.13571816252079e-06,0.9506582313584732,16.864478726039565,8.235452034796437e-06,-16.86447049058753,-4.322799136334763,16.864478726039565,8.235452034796437e-06,-16.86447049058753,-4.322799136334763,16.864478726039565,8.235452034796437e-06,-16.86447049058753,-4.322799136334763,50.59343617811869,2.4706356104389314e-05,-50.59341147176259,-12.968397409004288,4.067859081260395e-06,6.530493677487348e-08,41.6925,True,-50.59341147176258,False
One-stage weighted objective,1020,17.0,58.8676590442051,39.826061235596235,19.04159780860886,0.9734252639128731,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,1.2006029253351498e-05,11.568175620375483,11.56816361434623,0.4407908475248743,3.601808776005449e-05,34.704526861126446,34.704490843038684,1.322372542574623,9.52079890430443,0.32346449846612857,60.6611,False,34.704490843038684,False
One-stage weighted objective,1050,17.5,21.38615526279812,1.109432239989096e-12,21.386155262797008,0.9541449874203657,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,1.2256595687985215e-11,21.38615536277479,21.386155362762533,-10.76008685731807,3.6769787063955646e-11,64.15846608832436,64.1584660882876,-32.28026057195421,10.693077631398504,0.999999999999948,60.3799,False,64.1584660882876,False
One-stage weighted objective,1080,18.0,35.72629562474032,0.6493362810159967,35.076959343724326,0.9185013951490909,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,5.818142884721082e-06,23.871341443381855,23.87133562523897,-5.18779698256839,1.7454428654163247e-05,71.61402433014557,71.61400687571691,-15.563390947705168,17.538479671862163,0.981824696077185,50.6114,False,71.61400687571691,False
One-stage weighted objective,1110,18.5,34.88048921037201,3.9449215937105078,30.935567616661505,0.8787158339312934,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,5.93078342674403e-06,23.41797029780404,23.417964367020613,0.44251766338340237,1.7792350280232088e-05,70.25391089341211,70.25389310106183,1.327552990150207,15.467783808330752,0.8869017699288044,61.787,False,70.25389310106183,False
One-stage weighted objective,1140,19.0,14.676355200650205,1.1094413055447143e-12,14.676355200649095,0.839685891441511,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,1.3256938667402893e-11,14.676355300626875,14.676355300613618,-17.67213746505185,3.977081600220868e-11,44.02906590188063,44.02906590184085,-53.016412395155555,7.338177600324547,0.9999999999999244,49.4985,False,44.02906590184086,False
One-stage weighted objective,1170,19.5,6.556644238336596,1.1094427164299186e-12,6.556644238335487,0.8152252992738191,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,1.555565041989113e-11,6.55664430387971,6.556644303864155,-21.66734539794507,4.6666951259673394e-11,19.66993291163913,19.66993291159246,-65.00203619383521,3.2783221191677434,0.9999999999998308,40.435,False,19.66993291159246,False
One-stage weighted objective,1200,20.0,1.4787101336823925,1.10943980801291e-12,1.4787101336812831,0.804297558767374,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,1.7123175339959547e-11,1.4787101484461653,1.478710148429042,-22.195994159075518,5.1369526019878634e-11,4.436130445338495,4.436130445287127,-66.58798247722656,0.7393550668406416,0.9999999999992498,56.3995,False,4.436130445287126,False
One-stage weighted objective,1230,20.5,0.5138621598622417,1.1094461751644449e-12,0.5138621598611323,0.8018330418533189,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,1.734893673116359e-11,0.5138621649775349,0.513862164960186,-22.14073275880607,5.204681019349077e-11,1.5415864949326046,1.541586494880558,-66.4221982764182,0.25693107993056613,0.999999999997841,47.399,False,1.5415864948805578,False
One-stage weighted objective,1260,21.0,0.0,-3.5190552148520674e-19,3.5190552148520674e-19,0.8009766049117132,5.54113392323438e-06,25.064686486662474,25.06468094552855,0.4454755599057662,5.54113392323438e-06,25.064686486662474,25.06468094552855,0.4454755599057662,5.54113392323438e-06,25.064686486662474,25.06468094552855,0.4454755599057662,1.662340176970314e-05,75.19405945998741,75.19404283658565,1.3364266797172986,1.7595276074260337e-19,,34.112,False,75.19404283658565,False
One-stage weighted objective,1290,21.5,0.0,-3.4581349276487215e-19,3.4581349276487215e-19,0.7592021349144755,5.606472900643301e-06,24.772581480673182,24.772575874200285,0.07411289741626363,5.606472900643301e-06,24.772581480673182,24.772575874200285,0.07411289741626363,5.606472900643301e-06,24.772581480673182,24.772575874200285,0.07411289741626363,1.68194187019299e-05,74.31774444201956,74.31772762260086,0.22233869224879088,1.7290674638243607e-19,,45.046,False,74.31772762260086,False
One-stage weighted objective,1320,22.0,0.0,-3.522047213334771e-19,3.522047213334771e-19,0.717914506682092,5.537695025602233e-06,25.080251393915287,25.08024585622026,0.4522218998064904,5.537695025602233e-06,25.080251393915287,25.08024585622026,0.4522218998064904,5.537695025602233e-06,25.080251393915287,25.08024585622026,0.4522218998064904,1.66130850768067e-05,75.24075418174586,75.24073756866079,1.3566656994194712,1.7610236066673855e-19,,39.2842,False,75.24073756866078,False
One-stage weighted objective,1350,22.5,0.0,-3.5122409466225133e-19,3.5122409466225133e-19,0.6761140951681187,5.555246918253136e-06,25.00101101490968,25.001005459662764,0.44562476063111334,5.555246918253136e-06,25.00101101490968,25.001005459662764,0.44562476063111334,5.555246918253136e-06,25.00101101490968,25.001005459662764,0.44562476063111334,1.6665740754759405e-05,75.00303304472904,75.00301637898829,1.3368742818933401,1.7561204733112566e-19,,34.0765,False,75.00301637898828,False
One-stage weighted objective,1380,23.0,0.0,-3.4456802074990437e-19,3.4456802074990437e-19,0.6344457509761858,5.620059363341548e-06,24.712694710669417,24.712689090610052,-1.2171257322816862,5.620059363341548e-06,24.712694710669417,24.712689090610052,-1.2171257322816862,5.620059363341548e-06,24.712694710669417,24.712689090610052,-1.2171257322816862,1.6860178090024645e-05,74.13808413200826,74.13806727183017,-3.651377196845058,1.7228401037495218e-19,,34.936,False,74.13806727183017,False
One-stage weighted objective,1410,23.5,0.0,-3.4985092170757907e-19,3.4985092170757907e-19,0.5932579340454831,5.562575567112839e-06,24.96807283350177,24.9680672709262,-1.1552633118070377,5.562575567112839e-06,24.96807283350177,24.9680672709262,-1.1552633118070377,5.562575567112839e-06,24.96807283350177,24.9680672709262,-1.1552633118070377,1.6687726701338517e-05,74.90421850050531,74.9042018127786,-3.465789935421113,1.7492546085378954e-19,,26.0865,False,74.90420181277861,False
One-stage weighted objective,1440,24.0,0.0,-3.5039796316958463e-19,3.5039796316958463e-19,0.5516444868324571,5.55843079416012e-06,24.98669060181059,24.986685043379797,0.44308684460943565,5.55843079416012e-06,24.98669060181059,24.986685043379797,0.44308684460943565,5.55843079416012e-06,24.98669060181059,24.986685043379797,0.44308684460943565,1.667529238248036e-05,74.96007180543177,74.96005513013938,1.329260533828307,1.7519898158479231e-19,,27.1535,False,74.96005513013938,False
